female,race,age,education,income,married,unemployed,homemaker,rellig,attend,pid7_r,pid2_r,ideology_c,followpol,campint,vote12,who12,who12_r,voteprim,whoprim,whoprim_r,whoprim_trump,intendvote,intendwho,intend_r,intend_trump,intendstrength,intendstrength_trump,vote16,who16,who16_r,who16_trump,prefercand,prefertrump,switch_trump,switch_trumpr,abstainer_r,abstainer_trump,new_r,switcher_r,demangry_rc,demhope,demafraid_rc,demproud,demdisgust_rc,demaffect,repangry_rc,rephope,repafraid_rc,repproud,repdisgust_rc,repaffect,femscale,femscale_rc,antifemscale,tradfamily,womenmedia,womenfavors,womenprob,womendisc,sexismremarks,sexismfail,sexismpower,sexismleash,sexism_hostile,sexism_hostile.rc,sexism,heardvideo,mattervideo,economy,worldpos,whitejobloss,whitegov1,whitegov2,whiteunfair,whitelaws,whiteid,americanid,immgoodecon_rc,immharmcult,immincreasecrime,negimm,rrfavors,rrslavery_rc,rrless_rc,rrtry,rrscale,muslimsviolent,auth1,auth2,auth3,auth4,auth,domspending,defensespending,fightisis,allowrefugees,raiseminwage,actclimate,aca,toopc,repwomen,repwomen.rc,demwomen
0,Hispanic,30,13,24,0,0,0,2,1,5,1,4,4,3,0,,,0,,,,1,Gary Johnson,0,0,2,1,1,Gary Johnson,0,0,0,0,,,,,,,4,2,5,1,4,16,3,1,5,1,2,12,1,5,1,5,6,4,4,14,4,3,2,2,7,11,11,1,4,3,2,,0,0,0,,,5,4,2,1,7,2,2,2,2,8,5,1,3,3,1,8,4,2,3,4,4,4,2,2,4,4,4
0,"White, nonHispanic",67,12,14,1,0,0,2,2,2,0,4,4,3,1,Barack Obama,0,1,Bernie Sanders,0,0,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,1,,,,,,1,1,2,1,1,6,5,5,5,2,4,21,1,5,1,7,4,3,2,9,1,4,4,3,11,7,12,1,1,2,1,5,1,3,3,4,1,5,5,1,4,10,4,5,4,3,16,4,3,3,1,1,8,3,,7,1,3,4,1,4,7,1,4
1,"White, nonHispanic",62,14,10,0,0,0,4,6,1,0,2,5,3,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,5,4,5,4,5,23,2,1,2,1,2,8,3,3,1,4,5,5,4,14,1,1,1,1,3,15,4,1,4,4,2,1,0,0,0,1,4,4,3,2,2,7,2,1,2,1,6,3,1,1,1,1,4,5,3,5,6,4,7,7,2,1,7,7
0,"White, nonHispanic",51,9,3,0,0,0,,1,1,0,4,2,1,0,,,0,,,,,,,,,,,,,,,,,,,1,,,4,1,5,1,3,14,5,2,,2,4,,1,5,1,7,6,4,4,14,4,4,4,5,13,5,17,1,5,1,1,1,1,3,3,3,5,5,1,2,2,5,4,3,5,1,13,5,3,3,3,1,10,7,4,7,,4,6,2,3,1,7,6
0,Hispanic,46,14,27,1,0,0,1,1,1,0,2,5,3,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,4,4,4,3,5,20,1,2,2,1,2,8,3,3,1,4,6,4,5,15,2,3,4,3,10,8,12,1,4,4,1,,1,1,1,,4,4,5,1,1,7,2,2,2,2,8,4,1,1,1,1,4,5,4,5,7,4,7,7,2,1,7,7
0,"White, nonHispanic",70,13,16,0,0,0,1,1,7,1,6,4,2,1,Mitt Romney,1,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,,,0,,0,0,2,1,2,2,2,9,4,5,5,4,4,22,2,4,3,4,4,4,3,11,5,3,4,4,11,7,16,1,4,2,1,4,1,2,2,5,5,5,2,1,1,4,4,4,4,4,16,2,3,3,3,3,12,2,4,1,2,3,2,1,3,4,4,6
1,"White, nonHispanic",30,14,26,1,0,0,1,2,1,0,3,5,3,1,Barack Obama,0,1,Hillary Clinton,0,0,1,Hillary Clinton,0,0,1,2,1,Hillary Clinton,0,0,1,0,0,,,,,,4,4,5,4,5,22,1,1,2,1,1,6,4,2,1,4,6,5,5,16,2,1,1,1,3,15,5,1,4,4,2,1,1,2,2,1,3,4,5,1,1,7,1,1,2,2,6,4,1,1,1,1,4,6,4,5,7,4,7,6,2,1,7,7
1,"White, nonHispanic",67,10,22,1,0,0,4,4,6,1,4,4,3,1,Barack Obama,0,1,Bernie Sanders,0,0,1,Gary Johnson,0,0,1,2,1,,,,,,,,,,,,2,1,2,1,1,7,2,1,2,1,1,7,2,4,3,7,3,4,4,11,4,4,4,4,12,6,16,1,5,4,1,2,1,2,2,3,1,4,2,2,3,7,4,4,3,4,15,4,3,3,3,3,12,4,6,4,2,3,4,4,3,2,6,4
1,"White, nonHispanic",66,9,20,0,0,0,4,4,6,1,5,3,3,1,Mitt Romney,1,1,Ted Cruz,1,0,,,,,,,1,,,,,,,,1,,,,1,1,1,1,1,5,4,3,5,2,4,18,3,3,1,4,4,4,4,12,3,2,1,3,6,12,9,1,1,2,1,3,1,2,2,3,2,5,2,3,3,8,5,4,4,4,17,6,3,3,3,1,10,4,,2,2,4,2,1,3,4,4,4
1,"White, nonHispanic",32,12,3,0,0,0,1,1,6,1,3,3,3,1,Mitt Romney,1,0,,,,1,Donald Trump,1,1,1,3,1,Donald Trump,1,1,1,1,,,0,,0,0,2,1,1,1,2,7,4,4,5,4,5,22,2,4,1,4,5,4,4,13,3,2,2,2,6,12,9,1,2,2,1,4,0,0,0,4,4,4,2,4,4,10,5,4,3,4,16,6,1,3,1,1,6,4,3,2,1,3,4,1,3,6,2,7
